Year,Total,<5_000(hl),<10_000(hl),<50_000(hl),<100_000(hl),<200_000(hl),<500_000(hl),<1 million(hl),>1 million(hl)
2012,?,?,?,?,?,?,?,?,?
2011,1341,?,?,?,?,?,?,?,?
2010,?,?,?,?,?,?,?,?,?
2009,1327,?,?,?,?,?,?,?,?
2008,?,?,?,?,?,?,?,?,?
2007,?,?,?,?,?,?,?,?,?
2006,1284,816,89,195,70,34,33,18,29
2005,1280,807,90,189,74,35,35,23,26
2004,1281,801,87,194,73,43,32,21,30
2003,1275,773,83,219,72,45,31,25,27
2002,1287,789,93,212,71,45,25,21,31
2001,1298,781,88,231,77,41,28,23,29
2000,1279,746,97,222,85,43,35,21,30
1999,1281,725,107,233,77,52,36,21,30
1998,1285,718,105,237,85,54,35,21,30
1997,1273,686,116,241,85,51,43,18,33
1996,1276,671,119,246,93,46,48,23,30
1995,1282,643,126,267,93,53,46,25,29
1994,1299,625,132,276,99,62,49,29,27
