Name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
Baden-Württemberg(BW),185,185,189,185,189,188,182,180,171,178,173,177,179,169,166,170,169,173,173
Bayern(BY),623,622,637,637,632,630,629,619,623,630,641,644,656,670,684,696,699,714,726
Berlin/Brandenburg(BE/BB),48,41,37,39,41,39,38,38,36,39,36,34,34,35,31,33,32,28,22
Hessen(HE),72,68,68,62,62,70,69,68,66,64,64,66,65,62,62,61,56,53,54
Mecklenburg-Vorpommern(MV),23,22,23,24,23,24,21,22,22,20,19,18,17,14,12,11,11,9,9
Niedersachsen/Bremen(NI/HB),68,69,61,62,62,59,55,52,52,49,49,48,49,47,44,42,42,38,40
Nordrhein-Westfalen(NW),131,138,132,128,131,127,116,112,119,120,117,121,121,114,115,114,107,105,107
Rheinland-Pfalz/Saarland(RP/SL),71,65,66,55,54,54,56,57,55,52,49,51,53,48,42,39,39,38,37
Sachsen(SN),57,55,55,57,58,58,58,57,57,55,54,57,56,51,49,45,38,36,32
Sachsen-Anhalt(ST),19,19,21,22,20,22,24,22,20,18,18,18,15,15,16,13,12,16,15
Schlesw.-Holst./Hamburg(SH/HH),20,25,22,18,18,17,15,18,16,13,12,13,13,13,15,18,16,16,22
Thüringen(TH),32,31,36,44,41,40,43,44,44,43,43,42,40,41,43,43,52,50,45
Total,1349,1340,1347,1333,1331,1328,1306,1289,1281,1281,1275,1289,1298,1279,1281,1285,1273,1276,1282
