Year,<5_000(hl),<10_000(hl),<50_000(hl),<100_000(hl),<200_000(hl),<500_000(hl),<1 million(hl),>1 million(hl),Total
1994,625,132,276,99,62,49,29,27,1299
1995,643,126,267,93,53,46,25,29,1282
1996,671,119,246,93,46,48,23,30,1276
1997,686,116,241,85,51,43,18,33,1273
1998,718,105,237,85,54,35,21,30,1285
1999,725,107,233,77,52,36,21,30,1281
2000,746,97,222,85,43,35,21,30,1279
2001,781,88,231,77,41,28,23,29,1298
2002,789,93,212,71,45,25,21,31,1287
2003,773,83,219,72,45,31,25,27,1275
2004,801,87,194,73,43,32,21,30,1281
2005,807,90,189,74,35,35,23,26,1280
2006,816,89,195,70,34,33,18,29,1284
