Year,BW,BY,BE/BB,HE,MV,NI/HB,NW,RP/SL,SN,ST,SH/HH,TH,Total
1995,173,726,22,54,9,40,107,37,32,15,22,45,1282
1996,173,714,28,53,9,38,105,38,36,16,16,50,1276
1997,169,699,32,56,11,42,107,39,38,12,16,52,1273
1998,170,696,33,61,11,42,114,39,45,13,18,43,1285
1999,166,684,31,62,12,44,115,42,49,16,15,43,1281
2000,169,670,35,62,14,47,114,48,51,15,13,41,1279
2001,179,656,34,65,17,49,121,53,56,15,13,40,1298
2002,177,644,34,66,18,48,121,51,57,18,13,42,1289
2003,173,641,36,64,19,49,117,49,54,18,12,43,1275
2004,178,630,39,64,20,49,120,52,55,18,13,43,1281
2005,171,623,36,66,22,52,119,55,57,20,16,44,1281
2006,180,619,38,68,22,52,112,57,57,22,18,44,1289
2007,182,629,38,69,21,55,116,56,58,24,15,43,1306
2008,188,630,39,70,24,59,127,54,58,22,17,40,1328
2009,189,632,41,62,23,62,131,54,58,20,18,41,1331
2010,185,637,39,62,24,62,128,55,57,22,18,44,1333
2011,189,637,37,68,23,61,132,66,55,21,22,36,1347
2012,185,622,41,68,22,69,138,65,55,19,25,31,1340
2013,185,623,48,72,23,68,131,71,57,19,20,32,1349
