Country,2011 (l),2010 (l),2009 (l),2008 (l),2007 (l),2006 (l),2005 (l),2004 (l),2003 (l)
Austria,108.1,105.8,106.5,109.7,108.2,108.0,108.9,108.6,110.6
Belgium,78,78,81,82,86,89,91,92,96
Bulgaria,69,67,67,73,74,68,61,61,59
Croatia,85.6,74,79,85.2,85,83,82,82,87
Cyprus,51.4,52,51,58.2,55.3,52.6,52.5,62,55
Czech Republic,145,145,149,158.1,158.8,158,156.5,157.9,160.9
Denmark,68,69,75,78.3,82.2,84.9,86.8,90.1,96.2
Estonia,71.6,78,85.4,88.1,94.7,96,93.3,81.2,71.2
Finland,87.2,87,87.7,89.2,90.8,88.7,90.6,90.8,83
France,30,30,30.7,30.6,30.7,32,33.5,33.4,35.5
Germany,107.2,107.4,109.6,111.1,111.8,116,115.3,116,117.8
Greece,35.4,36,38.5,40.8,40.4,38.6,37.7,37.9,38.3
Hungary,65,61,65,71.8,73.4,71.5,67.7,64.8,73.3
Ireland,86.0,90,91,98.6,105.5,106,106,108,113
Italy,29,28,28,29.4,31.1,30.3,29.9,29.6,30.1
Latvia,74,69,62.9,68.3,70,66,60.5,58.1,62.9
Lithuania,95.6,90,83.4,91.3,95.3,87.1,90,81.4,75.9
Luxembourg,85,85,85.6,80.7,104.9,104.4,113.7,116.3,115.6
Malta,45.2,47,48.9,46.3,41.1,37.1,29.2,31.7,31.1
Netherlands,71.7,72,72.8,78.5,77.5,79.4,78.1,77.9,79.3
Norway,59,56,55,54,54,54,53,54,50
Poland,95,91,91,94,93,86,80,77,74
Portugal,53,59,59,61,61.1,61.9,61.3,61.7,60
Romania,89,78,81,93,89,81,70,66,74
Slovakia,72.9,78,75,77.4,79.3,80.7,80,82.4,90
Slovenia,81,82,88.6,92.6,89.8,86.5,81.9,78.3,77.9
Spain,48.2,48.3,50.7,51.7,56,59.2,58.5,59.1,57.5
Sweden,50.7,53,52.3,51.6,52.9,53.4,51.9,51.9,55.6
Switzerland,57.9,57.3,57.2,58,57.1,56.5,54.8,56.9,58.7
Turkey,10.9,12,12.7,12.9,12,11,11.4,11.4,11.2
United Kingdom,73.7,73,75.8,83.9,87.7,92,95.6,98.9,101.3
